date_time,acc,dataset,split,input,type,a1,a2,a3
2019-05-17 14:13:47,94.38,UCF101,2,flow,time,0.0,0.0,0.0001
2019-05-22 18:11:03,68.30,HMDB51,2,flow,time,0.0,0.0,0.0
2019-05-22 18:16:27,66.73,HMDB51,2,flow,time,1.0,0.0,0.0
2019-05-22 18:20:35,67.91,HMDB51,2,flow,time,0.1,0.0,0.0
2019-05-22 18:26:00,67.39,HMDB51,2,flow,time,0.01,0.0,0.0
2019-05-22 18:28:54,66.27,HMDB51,2,flow,time,0.001,0.0,0.0
2019-05-22 18:31:58,67.65,HMDB51,2,flow,time,0.0001,0.0,0.0
2019-05-22 18:34:56,67.91,HMDB51,2,flow,time,0.0,1.0,0.0
2019-05-22 18:38:28,67.52,HMDB51,2,flow,time,0.0,0.1,0.0
2019-05-22 18:41:53,67.84,HMDB51,2,flow,time,0.0,0.01,0.0
2019-05-22 18:45:46,67.65,HMDB51,2,flow,time,0.0,0.001,0.0
2019-05-22 18:50:25,67.78,HMDB51,2,flow,time,0.0,0.0001,0.0
2019-05-22 18:54:35,67.58,HMDB51,2,flow,time,0.0,0.0,1.0
2019-05-22 18:57:51,68.17,HMDB51,2,flow,time,0.0,0.0,0.1
2019-05-22 19:00:18,67.45,HMDB51,2,flow,time,0.0,0.0,0.01
2019-05-22 19:03:50,67.45,HMDB51,2,flow,time,0.0,0.0,0.001
2019-05-22 19:06:46,67.71,HMDB51,2,flow,time,0.0,0.0,0.0001
2019-05-22 19:21:01,69.41,HMDB51,1,flow,time,0.0,0.0,0.0
2019-05-22 19:25:08,70.52,HMDB51,1,flow,time,1.0,0.0,0.0
2019-05-22 19:30:27,70.46,HMDB51,1,flow,time,0.1,0.0,0.0
2019-05-22 19:35:53,69.02,HMDB51,1,flow,time,0.01,0.0,0.0
2019-05-22 19:40:53,69.80,HMDB51,1,flow,time,0.001,0.0,0.0
2019-05-22 19:45:13,70.00,HMDB51,1,flow,time,0.0001,0.0,0.0
2019-05-22 19:48:21,69.28,HMDB51,1,flow,time,0.0,1.0,0.0
2019-05-22 19:53:57,70.52,HMDB51,1,flow,time,0.0,0.1,0.0
2019-05-22 19:59:01,70.39,HMDB51,1,flow,time,0.0,0.01,0.0
2019-05-22 20:03:14,70.07,HMDB51,1,flow,time,0.0,0.001,0.0
2019-05-22 20:05:54,69.61,HMDB51,1,flow,time,0.0,0.0001,0.0
2019-05-22 20:09:00,69.74,HMDB51,1,flow,time,0.0,0.0,1.0
2019-05-22 20:12:42,70.07,HMDB51,1,flow,time,0.0,0.0,0.1
2019-05-22 20:16:21,69.35,HMDB51,1,flow,time,0.0,0.0,0.01
2019-05-22 20:21:12,69.87,HMDB51,1,flow,time,0.0,0.0,0.001
2019-05-22 20:26:09,70.65,HMDB51,1,flow,time,0.0,0.0,0.0001
2019-05-22 20:30:55,70.33,HMDB51,3,flow,time,0.0,0.0,0.0
2019-05-22 20:34:49,70.72,HMDB51,3,flow,time,1.0,0.0,0.0
2019-05-22 20:39:46,70.26,HMDB51,3,flow,time,0.1,0.0,0.0
2019-05-22 20:44:57,70.26,HMDB51,3,flow,time,0.01,0.0,0.0
2019-05-22 20:49:01,70.33,HMDB51,3,flow,time,0.001,0.0,0.0
2019-05-22 20:51:42,70.00,HMDB51,3,flow,time,0.0001,0.0,0.0
2019-05-22 20:55:16,70.20,HMDB51,3,flow,time,0.0,1.0,0.0
2019-05-22 20:58:28,70.20,HMDB51,3,flow,time,0.0,0.1,0.0
2019-05-22 21:00:27,69.28,HMDB51,3,flow,time,0.0,0.01,0.0
2019-05-22 21:03:29,70.00,HMDB51,3,flow,time,0.0,0.001,0.0
2019-05-22 21:07:01,70.78,HMDB51,3,flow,time,0.0,0.0001,0.0
2019-05-22 21:10:37,70.65,HMDB51,3,flow,time,0.0,0.0,1.0
2019-05-22 21:13:26,69.61,HMDB51,3,flow,time,0.0,0.0,0.1
2019-05-22 21:17:10,70.20,HMDB51,3,flow,time,0.0,0.0,0.01
2019-05-22 21:19:23,70.13,HMDB51,3,flow,time,0.0,0.0,0.001
2019-05-22 21:23:38,70.78,HMDB51,3,flow,time,0.0,0.0,0.0001
2019-05-23 09:12:20,100.00,UCF101,1,flow,time,0.01,0.01,0.01
2019-05-23 11:31:08,72.09,HMDB51,3,flow,time,0.0,0.0,0.0
2019-05-23 11:36:44,71.57,HMDB51,3,flow,time,1.0,0.0,0.0
2019-05-23 11:39:22,70.98,HMDB51,3,flow,time,0.1,0.0,0.0
2019-05-23 11:41:29,71.63,HMDB51,3,flow,time,0.01,0.0,0.0
2019-05-23 11:44:40,72.35,HMDB51,3,flow,time,0.001,0.0,0.0
2019-05-23 11:48:48,71.83,HMDB51,3,flow,time,0.0001,0.0,0.0
2019-05-23 11:58:13,72.09,HMDB51,3,flow,time,0.0,1.0,0.0
2019-05-23 12:03:23,72.29,HMDB51,3,flow,time,0.0,0.1,0.0
2019-05-23 12:09:16,71.63,HMDB51,3,flow,time,0.0,0.01,0.0
2019-05-23 12:12:38,71.50,HMDB51,3,flow,time,0.0,0.001,0.0
2019-05-23 12:14:55,70.78,HMDB51,3,flow,time,0.0,0.0001,0.0
2019-05-23 12:18:10,71.96,HMDB51,3,flow,time,0.0,0.0,1.0
2019-05-23 12:22:31,70.72,HMDB51,3,flow,time,0.0,0.0,0.1
2019-05-23 12:27:33,71.76,HMDB51,3,flow,time,0.0,0.0,0.01
2019-05-23 12:31:53,71.83,HMDB51,3,flow,time,0.0,0.0,0.001
2019-05-23 12:35:41,71.50,HMDB51,3,flow,time,0.0,0.0,0.0001
2019-05-23 14:55:56,94.86,UCF101,3,flow,time,0.0,0.0,0.0
2019-05-23 15:00:57,94.97,UCF101,3,flow,time,1.0,0.0,0.0
2019-05-23 15:09:05,94.94,UCF101,3,flow,time,0.1,0.0,0.0
2019-05-23 15:19:26,95.13,UCF101,3,flow,time,0.01,0.0,0.0
2019-05-23 15:27:55,94.97,UCF101,3,flow,time,0.001,0.0,0.0
2019-05-23 15:34:59,94.86,UCF101,3,flow,time,0.0001,0.0,0.0
2019-05-23 15:40:14,94.99,UCF101,3,flow,time,0.0,1.0,0.0
2019-05-23 15:45:35,94.86,UCF101,3,flow,time,0.0,0.1,0.0
2019-05-23 15:53:05,95.16,UCF101,3,flow,time,0.0,0.01,0.0
2019-05-23 15:59:33,95.08,UCF101,3,flow,time,0.0,0.001,0.0
2019-05-23 16:04:41,94.75,UCF101,3,flow,time,0.0,0.0001,0.0
2019-05-23 16:13:45,94.02,UCF101,3,flow,time,0.0,0.0,1.0
2019-05-23 16:21:52,94.97,UCF101,3,flow,time,0.0,0.0,0.1
2019-05-23 16:28:45,95.24,UCF101,3,flow,time,0.0,0.0,0.01
2019-05-23 16:37:16,95.18,UCF101,3,flow,time,0.0,0.0,0.001
2019-05-23 16:43:28,94.91,UCF101,3,flow,time,0.0,0.0,0.0001
2019-05-23 16:56:33,71.37,HMDB51,1,flow,time,0.0,0.0,0.0
2019-05-23 17:01:21,71.96,HMDB51,1,flow,time,1.0,0.0,0.0
